area_name,display_order,created_at,updated_at,deleted_at
北海道,1,2022/6/13 12:37,NULL,NULL
青森県,2,2022/6/13 12:37,NULL,NULL
岩手県,3,2022/6/13 12:37,NULL,NULL
"宮城県	",4,2022/6/13 12:37,NULL,NULL
秋田県,5,2022/6/13 12:37,NULL,NULL
山形県,6,2022/6/13 12:37,NULL,NULL
"福島県	",7,2022/6/13 12:37,NULL,NULL
茨城県,8,2022/6/13 12:37,NULL,NULL
栃木県,9,2022/6/13 12:37,NULL,NULL
群馬県,10,2022/6/13 12:37,NULL,NULL
埼玉県,11,2022/6/13 12:37,NULL,NULL
千葉県,12,2022/6/13 12:37,NULL,NULL
東京都,13,2022/6/13 12:37,NULL,NULL
神奈川県,14,2022/6/13 12:37,NULL,NULL
新潟県,15,2022/6/13 12:37,NULL,NULL
富山県,16,2022/6/13 12:37,NULL,NULL
石川県,17,2022/6/13 12:37,NULL,NULL
福井県,18,2022/6/13 12:37,NULL,NULL
山梨県,19,2022/6/13 12:37,NULL,NULL
長野県,20,2022/6/13 12:37,NULL,NULL
岐阜県,21,2022/6/13 12:37,NULL,NULL
静岡県,22,2022/6/13 12:37,NULL,NULL
愛知県,23,2022/6/13 12:37,NULL,NULL
三重県,24,2022/6/13 12:37,NULL,NULL
滋賀県,25,2022/6/13 12:37,NULL,NULL
京都府,26,2022/6/13 12:37,NULL,NULL
大阪府,27,2022/6/13 12:37,NULL,NULL
兵庫県,28,2022/6/13 12:37,NULL,NULL
奈良県,29,2022/6/13 12:37,NULL,NULL
和歌山県,30,2022/6/13 12:37,NULL,NULL
鳥取県,31,2022/6/13 12:37,NULL,NULL
島根県,32,2022/6/13 12:37,NULL,NULL
岡山県,33,2022/6/13 12:37,NULL,NULL
広島県,34,2022/6/13 12:37,NULL,NULL
山口県,35,2022/6/13 12:37,NULL,NULL
徳島県,36,2022/6/13 12:37,NULL,NULL
香川県,37,2022/6/13 12:37,NULL,NULL
愛媛県,38,2022/6/13 12:37,NULL,NULL
高知県,39,2022/6/13 12:37,NULL,NULL
福岡県,40,2022/6/13 12:37,NULL,NULL
佐賀県,41,2022/6/13 12:37,NULL,NULL
長崎県,42,2022/6/13 12:37,NULL,NULL
熊本県,43,2022/6/13 12:37,NULL,NULL
大分県,44,2022/6/13 12:37,NULL,NULL
宮崎県,45,2022/6/13 12:37,NULL,NULL
鹿児島県,46,2022/6/13 12:37,NULL,NULL
沖縄県,47,2022/6/13 12:37,NULL,NULL
